ts	phase	decision	why	evidence	result
2026-09-18T21:58:08Z	frame	started figure-it-out on plugin nested-model ownership	CLI currently stores plugin models as core subagents which already fails for sandbox	src/sqlsaber/config/settings.py:17 SUBAGENT_KEYS; plugins/sandbox/src/sqlsaber_sandbox/tools.py:165 resolve_subagent_model sandbox	open
2026-09-18T22:01:14Z	how	four explorers agreed nested models are split across two stores and three lookup styles	sandbox is missing from SUBAGENT_KEYS and viz/handoff ignore PluginContext.config	.audit/grounding.md explorer-confirmed details	open
2026-09-18T22:01:55Z	how	spawned explainer on explorer agreement	need one mental model before architect sketches	how explainer bc-af778c2c-9d75-5cc6-a515-92c94f74f54d	open
2026-09-18T22:02:41Z	why	source-control investigator showed plugin settings arrived seven months after the core subagent table and left models behind	PR 285 said core must not learn plugin names while SUBAGENT_KEYS still lists viz and notebook	PRs 118 117 199 282 285	open
2026-09-18T22:06:55Z	how	accepted explainer: two stores, three lookup styles, PluginContext.resolve_subagent_model is the choke point	viz and handoff leak via fresh Config(); do not add sandbox to SUBAGENT_KEYS	.audit/how-explanation.md	open
2026-09-18T22:09:10Z	why	accepted why synthesis: table predates plugin settings; H2 remains live; handoff stays core	plugin settings arriving later is chronology fact; owner-now is a design judgment	.audit/why-synthesis.md	open
2026-09-18T22:09:55Z	architect	fanned out four arena sketches: capability-config, host map, tool_overrides-only, NestedModel type	one-way door on store ownership; need structurally distinct candidates	/tmp/arena-plugin-model/{fable,sol,grok,opus}	open
2026-09-18T22:15:08Z	arena	read grok package: one runtime channel is tool_overrides; CLI translates saved plugin model; NestedTool keys; SUBAGENT_KEYS=handoff only	files exist and match the assigned direction; pick waits on fable sol opus	/tmp/arena-plugin-model/grok/USAGE_AND_TYPES.md	open
2026-09-18T22:23:53Z	arena	read fable package: SubagentModel sum on capability config; resolver requires model=; one-shot adopt into plugin_config; SUBAGENT_KEYS=handoff	structurally distinct from grok (config is SoT vs tool_overrides is the only runtime map); pick waits on sol opus	/tmp/arena-plugin-model/fable/USAGE_AND_TYPES.md	open
2026-09-18T22:28:27Z	arena	read sol and opus packages; all four arena files complete	sol and opus agents idle; packages have usage plus rationale	/tmp/arena-plugin-model/{sol,opus,fable,grok}/USAGE_AND_TYPES.md	open
2026-09-18T22:28:27Z	arena	parent scored opus 23 fable 21 grok 19 sol 18; tentative base opus	capability config owns the nested model; sol makes SDK callers zip two fields; grok translates CLI into tool_overrides	/tmp/arena-plugin-model/PARENT_SCORE.md	open
2026-09-18T22:28:27Z	arena	spawned fable-max cross-judge	arena phase C; parent grok so judge is a different family	bc-1f69d470-4443-51b7-a6b3-b2d943d152d0	open
2026-09-18T22:29:06Z	arena	opus and sol completion notices add prototype logs; packages unchanged since parent score	mtimes match the already-read files; pick still waits on the fable-max judge	/opt/cursor/artifacts/design_sketch_validation.log	open
